V-1,V-2,V-3,V-4,V-5,V-6,V-7,V-8,V-11,V-12,V-13,V-14,V-15,V-16,V-17,V-18,V-19,V-20,V-21,V-22,V-23,V-24,V-25,V-26,V-27,V-28,V-29,V-9
1,"3,150",920,598.50,190,1010.84,16,"1,200","6,282",53.92,59.10,5.37,"282,104","3,280",58.22,163.15,"8,317",15.00,766.14,824.22,"1,755","8,007",64.00,58.61,"3,402","29,575","607,308","2,200"
1,"7,600","1,140",3040.00,400,963.81,23,"2,900","3,250",97.24,96.64,2.97,"598,494","3,684",98.82,171.36,"11,690",15.00,1313.86,1410.34,"8,648","8,675",98.19,97.96,"12,545","31,950","1,022,789","5,000"
1,"4,800",840,480.00,100,689.84,15,630,"2,180",38.96,39.87,1.38,"144,653","1,274",33.43,178.04,"4,043",15.00,581.18,679.75,"1,755","6,162",42.17,34.99,"1,571","27,120","436,472","1,200"
1,685,202,13.70,20,459.54,4,140,"2,375",11.14,6.97,2.21,"32,818",332,11.73,31.71,336,12.00,178.93,188.00,"1,490","1,529",10.46,9.28,523,"18,075","127,630",165
1,"3,000",800,1230.00,410,631.91,13,"5,000","6,344",176.16,148.16,5.50,"1,447,982","9,360",190.06,283.13,"49,351",11.60,2458.04,2709.20,"9,272","9,343",144.29,150.74,"9,809","34,438","1,875,427","5,500"
1,"2,500",640,1050.00,420,647.32,12,"4,800","6,344",176.16,148.16,5.50,"1,447,982","9,360",190.06,283.13,"49,351",11.60,2458.04,2709.20,"9,272","9,343",144.29,150.74,"9,809","34,438","1,875,427","5,200"
1,"1,810",492,1158.40,640,843.98,11,"5,700","6,514",191.28,160.91,6.02,"1,515,674","11,036",221.88,213.36,"38,017",11.00,2588.18,2992.90,"9,252","9,338",151.20,158.36,"10,158","27,332","2,015,433","5,800"
1,"1,150",380,575.00,500,590.68,6,"5,300","4,744",237.78,201.38,5.39,"1,707,975","15,831",281.00,245.71,"46,832",11.00,3182.62,3599.32,"9,507","9,619",178.37,190.84,"10,047","35,378","2,316,892","4,600"
1,"2,110",540,189.90,90,732.14,5,690,"3,600",31.96,33.62,2.71,"108,506","1,749",27.68,92.91,"1,896",15.00,463.32,630.38,"1,755","4,613",32.98,25.41,"1,914","22,258","406,027",870
1,"3,030",930,515.10,170,1007.38,3,"1,500","4,981",49.08,56.64,4.09,"215,567","2,273",47.14,160.14,"7,113",15.00,704.38,771.02,"1,755","8,235",57.48,49.15,"2,603","28,750","610,491","1,700"
1,750,200,90.00,120,846.15,6,"1,100","2,264",41.70,43.81,1.72,"159,443","1,279",34.34,167.34,"4,338",15.00,599.02,654.95,"1,755","7,535",46.26,38.32,"1,617","23,615","501,566","1,500"
1,"4,080",790,530.40,130,759.17,7,"1,800","5,936",51.58,58.02,4.92,"245,985","2,807",52.58,133.58,"6,569",15.00,757.58,796.02,"1,755","8,070",60.57,53.90,"3,024","25,021","598,322","2,500"
1,"5,030","1,540",251.50,50,667.88,3,600,"2,087",21.22,23.81,2.57,"71,044",679,22.05,88.61,"1,134",15.00,244.92,377.04,"1,750","3,804",24.07,16.28,"1,078","24,829","437,027",780
1,"4,040",890,1212.00,300,752.65,6,"3,800","2,849",115.66,105.54,2.63,"785,675","4,949",108.40,191.46,"25,240",15.00,1671.78,1796.52,"8,988","9,007",110.75,112.13,"10,942","32,741","1,222,376","5,000"
1,"4,880","1,070",1854.40,380,614.00,5,"4,100","5,802",164.08,141.90,4.89,"1,347,402","8,940",170.72,269.33,"46,434",12.20,2313.18,2508.26,"9,266","9,316",138.41,143.73,"9,808","31,763","1,742,555","5,200"
1,"1,860",480,539.40,290,836.28,4,"3,300","3,086",102.28,100.87,2.82,"634,092","4,450",101.50,119.37,"10,964",15.00,1452.42,1533.58,"8,759","8,784",102.10,101.70,"12,754","25,338","1,073,299","3,800"
1,"1,460",380,627.80,430,733.24,5,"4,700","5,254",153.50,136.19,4.52,"1,254,762","7,601",152.06,253.58,"43,331",12.80,2193.06,2313.26,"9,237","9,278",133.33,137.40,"9,768","29,153","1,692,849","6,300"
1,"15,670","3,440",7208.20,460,1010.50,5,"3,000","3,149",125.76,112.64,2.68,"911,839","5,083",111.84,199.59,"30,523",14.60,1774.48,1887.80,"9,104","9,121",116.27,119.22,"9,851","28,432","1,415,011","3,800"
1,"2,620",670,1231.40,470,724.38,5,"3,900","6,344",176.16,148.16,5.50,"1,447,982","9,360",190.06,283.13,"49,351",11.60,2458.04,2709.20,"9,272","9,343",144.29,150.74,"9,809","34,438","1,875,427","4,800"
1,"5,020","1,110",1706.80,340,853.01,5,"3,300","2,849",115.66,105.54,2.63,"785,675","4,949",108.40,191.46,"25,240",15.00,1671.78,1796.52,"8,988","9,007",110.75,112.13,"10,942","32,741","1,222,376","4,000"
1,"1,830",410,494.10,270,650.57,6,"3,700","3,250",97.24,96.64,2.97,"598,494","3,684",98.82,171.36,"11,690",15.00,1313.86,1410.34,"8,648","8,675",98.19,97.96,"12,545","31,950","1,022,789","4,600"
1,"3,560",690,925.60,260,885.89,7,"2,500","2,807",82.14,83.86,2.52,"491,197","3,695",91.10,177.84,"8,124",15.00,1113.58,1217.76,"8,337","8,374",88.50,86.53,"9,939","24,716","880,111","3,100"
1,"1,590",350,667.80,420,678.64,6,"4,900","5,802",164.08,141.90,4.89,"1,347,402","8,940",170.72,269.33,"46,434",12.20,2313.18,2508.26,"9,266","9,316",138.41,143.73,"9,808","31,763","1,742,555","6,300"
1,"3,700",820,962.00,260,749.77,6,"2,600","3,086",102.28,100.87,2.82,"634,092","4,450",101.50,119.37,"10,964",15.00,1452.42,1533.58,"8,759","8,784",102.10,101.70,"12,754","25,338","1,073,299","3,300"
1,"1,450",370,406.00,280,702.48,5,"3,800","2,849",115.66,105.54,2.63,"785,675","4,949",108.40,191.46,"25,240",15.00,1671.78,1796.52,"8,988","9,007",110.75,112.13,"10,942","32,741","1,222,376","4,600"
1,"1,480",380,222.00,150,731.79,5,"1,700","6,399",57.52,63.61,4.97,"320,626","3,903",65.72,163.58,"7,968",14.60,813.66,867.54,"4,224","8,004",68.33,63.45,"3,939","25,721","629,302","2,100"
1,"6,930","1,780",485.10,70,718.57,5,590,"2,210",23.12,25.34,2.74,"75,744",811,22.99,74.55,"1,080",15.00,269.16,401.40,"1,750","4,080",26.16,17.38,"1,339","19,722","439,001",830
1,"2,750",610,357.50,130,916.66,6,"1,300","2,264",41.70,43.81,1.72,"159,443","1,279",34.34,167.34,"4,338",15.00,599.02,654.95,"1,755","7,535",46.26,38.32,"1,617","23,615","501,566","1,700"
1,"3,040",670,881.60,290,561.79,5,"4,900","4,848",144.08,130.12,3.63,"1,156,755","6,889",136.84,235.87,"40,044",13.40,2088.96,2155.24,"9,208","9,242",129.20,132.55,"9,654","26,609","1,691,139","6,800"
1,"3,420",880,547.20,160,890.64,4,"2,000","5,392",50.30,57.71,4.52,"229,587","2,463",49.96,120.48,"5,846",15.00,727.76,781.22,"1,755","8,153",59.11,51.48,"2,840","22,833","605,836","2,400"
2,"2,600",560,598.00,230,415.24,10,"2,100","4,050",136.96,123.53,3.24,"1,072,744","6,160",124.14,276.08,"45,261",14.20,1963.04,2042.70,"9,180","9,207",125.20,128.61,"9,687","33,549","1,622,903","3,300"
2,"3,600",980,612.00,170,2648.04,7,250,"1,851",16.78,19.22,1.81,"56,363",463,19.23,60.37,588,15.00,209.44,290.74,"1,750","3,018",18.17,13.48,603,"19,157","348,141",420
2,900,300,351.00,390,755.51,6,"2,600","4,848",144.08,130.12,3.63,"1,156,755","6,889",136.84,235.87,"40,044",13.40,2088.96,2155.24,"9,208","9,242",129.20,132.55,"9,654","26,609","1,691,139","3,800"
2,820,250,303.40,370,928.27,7,"2,400","2,849",115.66,105.54,2.63,"785,675","4,949",108.40,191.46,"25,240",15.00,1671.78,1796.52,"8,988","9,007",110.75,112.13,"10,942","32,741","1,222,376","3,300"
2,680,260,20.40,30,639.50,3,170,"2,687",12.18,10.03,1.62,"38,340",342,13.60,40.24,399,12.00,175.90,215.88,"1,563","1,620",11.43,10.13,411,"21,595","139,263",200
2,"1,160",300,429.20,370,474.91,5,"2,400","5,954",208.30,177.64,6.39,"1,581,582","13,125",247.22,227.10,"41,133",11.00,2769.10,3224.88,"9,282","9,374",159.88,168.50,"10,652","29,947","2,129,495","2,600"
2,"1,160",260,185.60,160,697.66,7,990,"5,438",62.70,69.46,4.28,"365,019","4,475",73.52,233.90,"10,366",14.20,885.52,986.50,"6,718","8,016",73.60,69.75,"4,594","30,372","685,447","1,300"
2,"2,820",620,310.20,110,536.64,6,"1,300","6,399",57.52,63.61,4.97,"320,626","3,903",65.72,163.58,"7,968",14.60,813.66,867.54,"4,224","8,004",68.33,63.45,"3,939","25,721","629,302","1,700"
2,760,200,106.40,140,616.47,6,940,"5,784",59.92,66.36,4.50,"340,956","4,178",69.48,195.43,"9,084",14.40,836.08,904.76,"5,468","8,008",70.67,66.47,"4,289","28,018","649,944","1,200"
2,"2,250",690,765.00,340,853.01,3,"2,200","2,849",115.66,105.54,2.63,"785,675","4,949",108.40,191.46,"25,240",15.00,1671.78,1796.52,"8,988","9,007",110.75,112.13,"10,942","32,741","1,222,376","2,500"
2,"5,540",850,1551.20,280,957.42,9,"1,200","2,826",77.46,79.82,2.48,"464,277","3,945",88.06,241.80,"10,394",14.80,1055.74,1214.26,"8,226","8,269",85.36,83.04,"8,539","31,160","846,789","1,600"
2,"1,540",400,154.00,100,771.33,5,700,"3,025",36.76,38.37,1.51,"131,422","1,390",31.73,121.94,"2,771",15.00,548.66,686.17,"1,755","5,154",38.72,31.87,"1,611","22,930","391,881",860
2,"4,230",820,169.20,40,780.14,7,200,"2,028",15.52,17.69,1.67,"53,082",440,18.30,67.27,618,14.40,205.58,272.32,"1,750","2,557",16.26,12.76,504,"24,118","287,605",340
2,"1,540",590,215.60,140,698.95,2,820,"6,186",55.48,60.99,5.30,"300,147","3,543",61.70,138.35,"7,016",14.80,785.74,848.80,"2,989","8,006",66.17,60.89,"3,665","23,479","616,679",910
2,"4,330","1,110",86.60,20,421.26,4,170,"2,178",14.66,16.16,1.40,"49,481",407,17.36,56.03,513,13.80,197.62,246.70,"1,732","2,345",14.89,12.12,436,"22,231","236,543",220
2,"2,710",600,867.20,320,637.72,6,"2,300","3,512",131.18,118.01,2.88,"982,329","5,863",116.54,234.51,"37,149",14.40,1870.46,1957.40,"9,147","9,166",120.31,123.71,"9,784","30,962","1,512,279","3,100"
2,"1,350",350,270.00,200,576.74,5,"1,700","3,086",102.28,100.87,2.82,"634,092","4,450",101.50,119.37,"10,964",15.00,1452.42,1533.58,"8,759","8,784",102.10,101.70,"12,754","25,338","1,073,299","2,000"
2,"1,260",330,189.00,150,875.96,5,790,"5,936",51.58,58.02,4.92,"245,985","2,807",52.58,133.58,"6,569",15.00,757.58,796.02,"1,755","8,070",60.57,53.90,"3,024","25,021","598,322","1,000"
2,"1,710",440,171.00,100,798.68,5,630,"3,267",35.58,37.64,1.67,"125,696","1,575",30.76,102.14,"2,322",15.00,483.68,669.96,"1,755","4,940",37.36,30.35,"1,677","20,920","391,609",780
2,730,190,226.30,310,893.95,6,"1,800","3,086",102.28,100.87,2.82,"634,092","4,450",101.50,119.37,"10,964",15.00,1452.42,1533.58,"8,759","8,784",102.10,101.70,"12,754","25,338","1,073,299","2,200"
2,450,120,58.50,130,913.31,7,690,"2,331",42.96,46.09,1.95,"167,441","1,282",35.58,177.49,"5,107",15.00,613.73,656.12,"1,755","8,108",48.28,39.94,"1,707","25,743","541,851",930
2,610,160,183.00,300,597.86,6,"2,700","3,512",131.18,118.01,2.88,"982,329","5,863",116.54,234.51,"37,149",14.40,1870.46,1957.40,"9,147","9,166",120.31,123.71,"9,784","30,962","1,512,279","3,600"
2,"3,160",700,537.20,170,694.97,6,"1,100","3,646",69.60,75.75,2.69,"411,146","4,727",81.40,217.62,"9,260",14.40,969.18,1098.46,"8,066","8,119",79.51,76.56,"6,122","26,395","760,256","1,400"
2,370,120,40.70,110,585.22,5,"1,200","6,282",53.92,59.10,5.37,"282,104","3,280",58.22,163.15,"8,317",15.00,766.14,824.22,"1,755","8,007",64.00,58.61,"3,402","29,575","607,308","1,500"
2,690,160,89.70,130,770.35,8,990,"4,981",49.08,56.64,4.09,"215,567","2,273",47.14,160.14,"7,113",15.00,704.38,771.02,"1,755","8,235",57.48,49.15,"2,603","28,750","610,491","1,400"
3,"2,140",400,813.20,380,614.00,5,"3,200","5,802",164.08,141.90,4.89,"1,347,402","8,940",170.72,269.33,"46,434",12.20,2313.18,2508.26,"9,266","9,316",138.41,143.73,"9,808","31,763","1,742,555","4,000"
3,"7,500","1,260",2775.00,370,820.91,11,"1,800","2,995",120.56,108.34,2.49,"840,763","5,161",109.86,171.32,"25,381",14.80,1742.88,1869.30,"9,050","9,067",113.70,115.46,"10,435","25,961","1,319,237","3,000"
3,"2,100",500,126.00,60,1158.47,11,300,"2,867",28.60,29.93,3.15,"95,474","1,340",25.80,100.81,"1,816",15.00,432.66,555.52,"1,753","4,368",30.41,21.82,"1,923","25,562","414,497",500
3,"4,600","1,000",2668.00,580,3436.93,11,"1,300","4,981",49.08,56.64,4.09,"215,567","2,273",47.14,160.14,"7,113",15.00,704.38,771.02,"1,755","8,235",57.48,49.15,"2,603","28,750","610,491","2,100"
3,"5,200",800,208.00,40,958.39,13,120,"2,691",12.62,11.56,1.45,"41,408",350,14.54,45.37,431,12.00,183.84,225.04,"1,623","1,763",12.15,10.59,390,"23,427","157,940",300
3,"1,820",400,655.20,360,474.74,5,"3,400","6,514",191.28,160.91,6.02,"1,515,674","11,036",221.88,213.36,"38,017",11.00,2588.18,2992.90,"9,252","9,338",151.20,158.36,"10,158","27,332","2,015,433","4,000"
3,"1,500",350,810.00,540,637.93,6,"4,300","4,744",237.78,201.38,5.39,"1,707,975","15,831",281.00,245.71,"46,832",11.00,3182.62,3599.32,"9,507","9,619",178.37,190.84,"10,047","35,378","2,316,892","3,750"
3,"3,100",640,1798.00,580,647.79,7,"4,600","3,901",249.32,206.17,4.80,"1,774,014","16,602",294.03,180.88,"35,580",11.00,3384.06,3812.91,"9,624","9,725",186.00,199.94,"9,883","28,046","2,289,900","4,000"
3,"2,260",440,158.20,70,569.44,7,620,"3,600",31.96,33.62,2.71,"108,506","1,749",27.68,92.91,"1,896",15.00,463.32,630.38,"1,755","4,613",32.98,25.41,"1,914","22,258","406,027",860
3,"1,090",280,152.60,140,777.06,5,"1,500","5,995",52.86,58.32,5.00,"263,012","3,119",55.38,147.80,"7,393",15.00,755.22,824.80,"1,755","8,027",62.17,56.33,"3,221","27,269","599,285","1,900"
3,"2,530",560,759.00,300,722.86,6,"1,800","3,250",97.24,96.64,2.97,"598,494","3,684",98.82,171.36,"11,690",15.00,1313.86,1410.34,"8,648","8,675",98.19,97.96,"12,545","31,950","1,022,789","2,200"
3,"4,070","1,040",895.40,220,634.42,4,"1,800","3,086",102.28,100.87,2.82,"634,092","4,450",101.50,119.37,"10,964",15.00,1452.42,1533.58,"8,759","8,784",102.10,101.70,"12,754","25,338","1,073,299","2,000"
3,"6,000","1,320",1800.00,300,752.65,5,"2,800","2,849",115.66,105.54,2.63,"785,675","4,949",108.40,191.46,"25,240",15.00,1671.78,1796.52,"8,988","9,007",110.75,112.13,"10,942","32,741","1,222,376","3,400"
3,820,260,49.20,60,644.47,4,630,"2,514",25.04,26.87,3.04,"81,307","1,036",23.92,82.62,"1,275",15.00,310.00,441.98,"1,751","4,025",27.53,18.63,"1,586","21,616","415,497",800
3,"1,150",300,80.50,70,718.57,5,620,"2,210",23.12,25.34,2.74,"75,744",811,22.99,74.55,"1,080",15.00,269.16,401.40,"1,750","4,080",26.16,17.38,"1,339","19,722","439,001",870
3,"4,000",880,400.00,100,750.70,5,540,"3,497",33.20,35.12,2.25,"114,843","1,632",28.61,104.48,"2,207",15.00,485.90,650.86,"1,755","4,706",34.24,27.16,"1,812","24,266","401,122",680
3,"3,240",630,680.40,210,715.52,7,"2,300","2,807",82.14,83.86,2.52,"491,197","3,695",91.10,177.84,"8,124",15.00,1113.58,1217.76,"8,337","8,374",88.50,86.53,"9,939","24,716","880,111","2,900"
3,"1,380",360,110.40,80,735.87,5,630,"3,174",30.42,31.87,2.91,"101,481","1,609",26.74,82.74,"1,641",15.00,433.36,590.24,"1,754","4,507",31.84,23.57,"1,985","20,306","412,021",800
3,"2,170",480,542.50,250,854.84,6,"1,500","2,826",77.46,79.82,2.48,"464,277","3,945",88.06,241.80,"10,394",14.80,1055.74,1214.26,"8,226","8,269",85.36,83.04,"8,539","31,160","846,789","1,800"
3,"1,820",400,200.20,110,753.66,6,920,"2,749",44.16,48.38,2.37,"175,925","1,448",36.78,186.26,"6,024",15.00,624.96,672.96,"1,755","8,449",50.52,41.61,"1,841","27,930","574,568","1,200"
3,580,150,17.40,30,631.89,6,240,"2,178",14.66,16.16,1.40,"49,481",407,17.36,56.03,513,13.80,197.62,246.70,"1,732","2,345",14.89,12.12,436,"22,231","236,543",370
3,"2,120",470,572.40,270,650.57,6,"2,900","3,250",97.24,96.64,2.97,"598,494","3,684",98.82,171.36,"11,690",15.00,1313.86,1410.34,"8,648","8,675",98.19,97.96,"12,545","31,950","1,022,789","3,600"
3,"5,110",980,1430.80,280,505.51,7,"2,800","4,050",136.96,123.53,3.24,"1,072,744","6,160",124.14,276.08,"45,261",14.20,1963.04,2042.70,"9,180","9,207",125.20,128.61,"9,687","33,549","1,622,903","4,200"
3,"3,110",690,777.50,250,720.93,5,"2,600","3,086",102.28,100.87,2.82,"634,092","4,450",101.50,119.37,"10,964",15.00,1452.42,1533.58,"8,759","8,784",102.10,101.70,"12,754","25,338","1,073,299","3,100"
3,"2,030",450,365.40,180,565.58,6,"1,800","3,166",92.42,92.25,2.83,"558,625","3,610",95.80,179.82,"10,346",15.00,1248.68,1350.94,"8,548","8,579",94.54,94.01,"12,233","29,482","958,166","2,200"
3,"4,840",930,1452.00,300,541.61,7,"3,300","4,050",136.96,123.53,3.24,"1,072,744","6,160",124.14,276.08,"45,261",14.20,1963.04,2042.70,"9,180","9,207",125.20,128.61,"9,687","33,549","1,622,903","5,100"
3,"4,090",900,1104.30,270,655.93,5,"2,200","2,779",111.38,104.22,2.61,"726,637","4,906",106.42,162.90,"19,189",15.00,1592.28,1720.64,"8,921","8,940",107.64,108.68,"11,765","30,217","1,157,579","2,600"
3,"3,280",720,459.20,140,805.03,6,"1,200","3,238",45.52,51.70,2.70,"183,537","1,611",38.90,139.95,"5,249",15.00,631.34,700.22,"1,755","8,578",52.62,43.23,"2,018","22,187","595,007","1,600"
3,"1,610",410,177.10,110,585.22,5,"1,700","6,282",53.92,59.10,5.37,"282,104","3,280",58.22,163.15,"8,317",15.00,766.14,824.22,"1,755","8,007",64.00,58.61,"3,402","29,575","607,308","2,100"
3,"1,710",440,119.70,70,525.49,5,880,"3,497",33.20,35.12,2.25,"114,843","1,632",28.61,104.48,"2,207",15.00,485.90,650.86,"1,755","4,706",34.24,27.16,"1,812","24,266","401,122","1,100"
4,"2,100",380,819.00,390,601.08,4,"2,800","6,344",176.16,148.16,5.50,"1,447,982","9,360",190.06,283.13,"49,351",11.60,2458.04,2709.20,"9,272","9,343",144.29,150.74,"9,809","34,438","1,875,427","3,400"
4,"1,800",500,954.00,530,626.12,7,"1,900","4,744",237.78,201.38,5.39,"1,707,975","15,831",281.00,245.71,"46,832",11.00,3182.62,3599.32,"9,507","9,619",178.37,190.84,"10,047","35,378","2,316,892","1,700"
4,"1,900",550,437.00,230,1362.92,7,550,"4,981",49.08,56.64,4.09,"215,567","2,273",47.14,160.14,"7,113",15.00,704.38,771.02,"1,755","8,235",57.48,49.15,"2,603","28,750","610,491",750
4,"1,895",550,379.00,200,1446.67,6,450,"2,096",40.40,41.73,1.41,"151,044","1,204",34.08,155.81,"3,717",15.00,591.58,657.03,"1,755","6,839",44.41,36.64,"1,584","21,545","469,042",580
4,"2,100",450,546.00,260,816.95,5,600,"3,166",92.42,92.25,2.83,"558,625","3,610",95.80,179.82,"10,346",15.00,1248.68,1350.94,"8,548","8,579",94.54,94.01,"12,233","29,482","958,166",700
